nid,level
155798,admin4
158006,admin4
158008,admin4
158009,admin4
158202,admin4
159054,admin4
159056,admin4
159135,admin4
159138,admin4
159140,admin4
159142,admin4
159144,admin4
159145,admin4
159160,admin4
159162,admin4
159163,admin4
159351,admin4
159498,admin4
159537,admin4
159548,admin4
159596,admin4
159929,admin4
159951,admin4
159952,admin4
159953,admin4
159954,admin4
159963,admin4
159991,admin4
159992,admin4
159993,admin4
159994,admin4
160224,admin4
160225,admin4
160226,admin4
160230,admin4
160239,admin4
160252,admin4
160260,admin4
160261,admin4
160262,admin4
160263,admin4
160264,admin4
160308,admin4
160309,admin4
160310,admin4
161150,admin4
161158,admin4
161160,admin4
161170,admin4
161171,admin4
161241,admin4
161999,admin4
162420,admin4
162446,admin4
163323,admin4
163324,admin4
163423,admin4
163496,admin4
163981,admin4
165486,admin4
165488,admin4
165495,admin4
165618,admin4
165624,admin4
166674,admin4
166675,admin4
166681,admin4
166682,admin4
166683,admin4
166684,admin4
166686,admin4
166735,admin4
167358,admin4
167419,admin4
167424,admin4
167425,admin4
168287,admin4
168303,admin4
168452,admin4
168610,admin4
169677,admin4
169678,admin4
169680,admin4
169681,admin4
169682,admin4
169687,admin4
169688,admin4
169721,admin4
170162,admin4
170428,admin4
170432,admin4
170433,admin4
171035,admin4
173281,admin4
173312,admin4
173409,admin4
173410,admin4
173411,admin4
173412,admin4
173413,admin4
173414,admin4
173415,admin4
173507,admin4
174678,admin4
174679,admin4
174680,admin4
174681,admin4
175423,admin4
178282,admin4
178287,admin4
178294,admin4
178299,admin4
178303,admin4
178358,admin4
178360,admin4
178362,admin4
178363,admin4
178364,admin4
178367,admin4
178387,admin4
178388,admin4
178390,admin4
178623,admin4
178624,admin4
178625,admin4
178626,admin4
178627,admin4
178628,admin4
179109,admin4
180441,admin4
181445,admin4
181446,admin4
181450,admin4
181460,admin4
181462,admin4
181463,admin4
181557,admin4
181559,admin4
181685,admin4
181686,admin4
182455,admin4
184029,admin4
185225,admin4
185613,admin4
186361,admin4
186763,admin4
186765,admin4
186767,admin4
186773,admin4
186776,admin4
186779,admin4
186793,admin4
186805,admin4
186806,admin4
186808,admin4
186851,admin4
186852,admin4
186853,admin4
197363,admin4
197368,admin4
197373,admin4
198093,admin4
198118,admin4
198158,admin4
198193,admin4
198278,admin4
198358,admin4
198378,admin4
199778,admin4
199808,admin4
199858,admin4
199883,admin4
216048,admin4
216078,admin4
230583,admin4
230603,admin4
230663,admin4
242827,admin4
243078,admin4
245362,admin4
247611,admin4
249948,admin4
249960,admin4
249974,admin4
251000,admin4
175313,National
20919,non-representative
40890,non-representative
41920,non-representative
49794,non-representative
49795,non-representative
49797,non-representative
49798,non-representative
49799,non-representative
49800,non-representative
49801,non-representative
49803,non-representative
49804,non-representative
49805,non-representative
49806,non-representative
49812,non-representative
49813,non-representative
49814,non-representative
49816,non-representative
49823,non-representative
49824,non-representative
49827,non-representative
49828,non-representative
49829,non-representative
49830,non-representative
49831,non-representative
49832,non-representative
49836,non-representative
49838,non-representative
49839,non-representative
49840,non-representative
49847,non-representative
49848,non-representative
49858,non-representative
49859,non-representative
49863,non-representative
49864,non-representative
49866,non-representative
49869,non-representative
49874,non-representative
49875,non-representative
49876,non-representative
49877,non-representative
49882,non-representative
49884,non-representative
49885,non-representative
49886,non-representative
157752,non-representative
7678,other
10586,other
10696,other
10712,other
10718,other
10746,other
20909,other
31564,other
31599,other
31601,other
31609,other
31618,other
36603,other
36614,other
45095,other
45107,other
45134,other
49796,other
49802,other
49808,other
49817,other
49819,other
49821,other
49822,other
49834,other
49837,other
49849,other
49852,other
49854,other
49855,other
49856,other
49857,other
49860,other
49861,other
49865,other
49872,other
49879,other
49881,other
49888,other
49889,other
52259,other
105802,other
106912,other
109386,other
112104,other
112105,other
113765,other
123185,other
123218,other
123223,other
125354,other
130953,other
138711,other
143908,other
148506,other
168529,other
173311,other
173835,other
175264,other
175551,other
175554,other
179821,other
179828,other
181837,other
186063,other
186064,other
191748,other
192663,other
216233,other
216243,other
216578,other
216583,other
216588,other
216593,other
216598,other
216603,other
227113,other
253463,other
